date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:47:17	32508/32508	---MCZ	200	added ('OK')	text/html	date:Thu,%2004%20Sep%202025%2007:02:24%20GMT	https://www.quiztwise.com/loan	C:/Users/codebuzz/OneDrive/Desktop/loan_quiz/loan/www.quiztwise.com/loan.html	(from )
12:47:17	430/430	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2004%20Sep%202025%2007:02:20%20GMT	https://www.quiztwise.com/robots.txt		(from )
12:47:18	6940/6940	---MCZ	200	added ('OK')	text/css	etag:W/%2219866264196813da35e85c94f94260d5%22	https://www.quiztwise.com/loan/style/main.css	C:/Users/codebuzz/OneDrive/Desktop/loan_quiz/loan/www.quiztwise.com/loan/style/main.css	(from https://www.quiztwise.com/loan)
12:47:18	1019/1019	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2004%20Sep%202025%2007:02:20%20GMT	https://www.quiztwise.com/loan/vjs.zencdn.net/7.11.4/video-js.css	C:/Users/codebuzz/OneDrive/Desktop/loan_quiz/loan/www.quiztwise.com/loan/vjs.zencdn.net/7.11.4/video-js.css	(from https://www.quiztwise.com/loan)
12:47:19	112211/112211	---M--	200	added ('OK')	text/javascript	etag:617%20/%2020335%20/%20m202508280101%20/%20config-hash:%2016465810551701672551	https://securepubads.g.doubleclick.net/tag/js/gpt.js	C:/Users/codebuzz/OneDrive/Desktop/loan_quiz/loan/securepubads.g.doubleclick.net/tag/js/f.txt	(from https://www.quiztwise.com/loan)
12:47:19	536739/536739	---M-Z	200	added ('OK')	application/javascript	etag:%22dca7de69f28da40d65353c2e9323442b%22	https://vjs.zencdn.net/7.11.4/video.min.js	C:/Users/codebuzz/OneDrive/Desktop/loan_quiz/loan/vjs.zencdn.net/7.11.4/video.min.js	(from https://www.quiztwise.com/loan)
12:47:19	62/62	---M--	400	error ('Bad%20Request')	text/plain	etag:W/%223e-rVTZaEP/IducDerMLIXX9cqTIf0%22	https://cdn.jsdelivr.net/npm/videojs-contrib-ads%406.8.0/dist/videojs-contrib-ads.min.js	C:/Users/codebuzz/OneDrive/Desktop/loan_quiz/loan/cdn.jsdelivr.net/npm/videojs-contrib-ads@6.8.0/dist/videojs-contrib-ads.min.5.delayed	(from https://www.quiztwise.com/loan)
12:47:20	62/62	---M--	400	error ('Bad%20Request')	text/plain	etag:W/%223e-rVTZaEP/IducDerMLIXX9cqTIf0%22	https://cdn.jsdelivr.net/npm/videojs-ima%401.8.0/dist/videojs.ima.min.js	C:/Users/codebuzz/OneDrive/Desktop/loan_quiz/loan/cdn.jsdelivr.net/npm/videojs-ima@1.8.0/dist/videojs.ima.min.js	(from https://www.quiztwise.com/loan)
12:47:20	1019/1019	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2004%20Sep%202025%2007:02:20%20GMT	https://www.quiztwise.com/loan/cdn.jsdelivr.net/npm/videojs-ima%401.8.0/dist/videojs.ima.css	C:/Users/codebuzz/OneDrive/Desktop/loan_quiz/loan/www.quiztwise.com/loan/cdn.jsdelivr.net/npm/videojs-ima@1.8.0/dist/videojs.ima.css	(from https://www.quiztwise.com/loan)
12:47:20	16540/16540	---MCZ	200	added ('OK')	text/html	date:Thu,%2004%20Sep%202025%2007:02:26%20GMT	https://www.quiztwise.com/loan/page/play9.html	C:/Users/codebuzz/OneDrive/Desktop/loan_quiz/loan/www.quiztwise.com/loan/page/play9.html	(from https://www.quiztwise.com/loan)
12:47:21	15428/15428	---MCZ	200	added ('OK')	text/html	date:Thu,%2004%20Sep%202025%2007:02:26%20GMT	https://www.quiztwise.com/loan/page/play2.html	C:/Users/codebuzz/OneDrive/Desktop/loan_quiz/loan/www.quiztwise.com/loan/page/play2.html	(from https://www.quiztwise.com/loan)
12:47:21	5034751/5034751	---M--	200	added ('OK')	video/mp4	etag:%22b812d5cf7e3029974d5c4b2638ed5a39%22	https://www.quiztwise.com/loan/img/9.mp4	C:/Users/codebuzz/OneDrive/Desktop/loan_quiz/loan/www.quiztwise.com/loan/img/9.mp4	(from https://www.quiztwise.com/loan)
12:47:21	15427/15427	---MCZ	200	added ('OK')	text/html	date:Thu,%2004%20Sep%202025%2007:02:26%20GMT	https://www.quiztwise.com/loan/page/play3.html	C:/Users/codebuzz/OneDrive/Desktop/loan_quiz/loan/www.quiztwise.com/loan/page/play3.html	(from https://www.quiztwise.com/loan)
12:47:21	4010565/4010565	---M--	200	added ('OK')	video/mp4	etag:%2224bfcd3e681e76c5629ec31a915d8465%22	https://www.quiztwise.com/loan/img/6.mp4	C:/Users/codebuzz/OneDrive/Desktop/loan_quiz/loan/www.quiztwise.com/loan/img/6.mp4	(from https://www.quiztwise.com/loan)
12:47:21	15429/15429	---MCZ	200	added ('OK')	text/html	date:Thu,%2004%20Sep%202025%2007:02:26%20GMT	https://www.quiztwise.com/loan/page/play4.html	C:/Users/codebuzz/OneDrive/Desktop/loan_quiz/loan/www.quiztwise.com/loan/page/play4.html	(from https://www.quiztwise.com/loan)
12:47:22	4322643/4322643	---M--	200	added ('OK')	video/mp4	etag:%22776c76b169f02452dc1097f35d66b9cd%22	https://www.quiztwise.com/loan/img/3.mp4	C:/Users/codebuzz/OneDrive/Desktop/loan_quiz/loan/www.quiztwise.com/loan/img/3.mp4	(from https://www.quiztwise.com/loan)
12:47:22	15428/15428	---MCZ	200	added ('OK')	text/html	date:Thu,%2004%20Sep%202025%2007:02:26%20GMT	https://www.quiztwise.com/loan/page/play5.html	C:/Users/codebuzz/OneDrive/Desktop/loan_quiz/loan/www.quiztwise.com/loan/page/play5.html	(from https://www.quiztwise.com/loan)
12:47:22	4149948/4149948	---M--	200	added ('OK')	video/mp4	etag:%223b044592ad393662844d64ac42324ede%22	https://www.quiztwise.com/loan/img/1.mp4	C:/Users/codebuzz/OneDrive/Desktop/loan_quiz/loan/www.quiztwise.com/loan/img/1.mp4	(from https://www.quiztwise.com/loan)
12:47:22	15429/15429	---MCZ	200	added ('OK')	text/html	date:Thu,%2004%20Sep%202025%2007:02:26%20GMT	https://www.quiztwise.com/loan/page/play6.html	C:/Users/codebuzz/OneDrive/Desktop/loan_quiz/loan/www.quiztwise.com/loan/page/play6.html	(from https://www.quiztwise.com/loan)
12:47:23	4946070/4946070	---M--	200	added ('OK')	video/mp4	etag:%222986087a89491aa2d145c0fbed00c9e8%22	https://www.quiztwise.com/loan/img/7.mp4	C:/Users/codebuzz/OneDrive/Desktop/loan_quiz/loan/www.quiztwise.com/loan/img/7.mp4	(from https://www.quiztwise.com/loan)
12:47:23	22499/22499	---MCZ	200	added ('OK')	text/html	date:Thu,%2004%20Sep%202025%2007:02:25%20GMT	https://www.quiztwise.com/loan/page/play1.html	C:/Users/codebuzz/OneDrive/Desktop/loan_quiz/loan/www.quiztwise.com/loan/page/play1.html	(from https://www.quiztwise.com/loan)
12:47:23	3317534/3317534	---M--	200	added ('OK')	video/mp4	etag:%2297e13e459c7a12a9c9afc43df869519a%22	https://www.quiztwise.com/loan/img/2.mp4	C:/Users/codebuzz/OneDrive/Desktop/loan_quiz/loan/www.quiztwise.com/loan/img/2.mp4	(from https://www.quiztwise.com/loan)
12:47:23	4066707/4066707	---M--	200	added ('OK')	video/mp4	etag:%227b46d56774389bf717bf03b967bb31d8%22	https://www.quiztwise.com/loan/img/8.mp4	C:/Users/codebuzz/OneDrive/Desktop/loan_quiz/loan/www.quiztwise.com/loan/img/8.mp4	(from https://www.quiztwise.com/loan)
12:47:23	16508/16508	---MCZ	200	added ('OK')	text/html	date:Thu,%2004%20Sep%202025%2007:02:25%20GMT	https://www.quiztwise.com/loan/page/play10.html	C:/Users/codebuzz/OneDrive/Desktop/loan_quiz/loan/www.quiztwise.com/loan/page/play10.html	(from https://www.quiztwise.com/loan)
12:47:24	16547/16547	---MCZ	200	added ('OK')	text/html	date:Thu,%2004%20Sep%202025%2007:02:25%20GMT	https://www.quiztwise.com/loan/page/play11.html	C:/Users/codebuzz/OneDrive/Desktop/loan_quiz/loan/www.quiztwise.com/loan/page/play11.html	(from https://www.quiztwise.com/loan)
12:47:24	4356280/4356280	---M--	200	added ('OK')	video/mp4	etag:%229892906a7ed94f04dc29a5b31e585341%22	https://www.quiztwise.com/loan/img/10.mp4	C:/Users/codebuzz/OneDrive/Desktop/loan_quiz/loan/www.quiztwise.com/loan/img/10.mp4	(from https://www.quiztwise.com/loan)
12:47:24	18420/18420	---MCZ	200	added ('OK')	text/html	date:Thu,%2004%20Sep%202025%2007:02:27%20GMT	https://www.quiztwise.com/loan/pages/video9.html	C:/Users/codebuzz/OneDrive/Desktop/loan_quiz/loan/www.quiztwise.com/loan/pages/video9.html	(from https://www.quiztwise.com/loan/page/play9.html)
12:47:24	4112843/4112843	---M--	200	added ('OK')	video/mp4	etag:%226c9e860ffd1f528f208f948d9bc4e433%22	https://www.quiztwise.com/loan/img/11.mp4	C:/Users/codebuzz/OneDrive/Desktop/loan_quiz/loan/www.quiztwise.com/loan/img/11.mp4	(from https://www.quiztwise.com/loan)
12:47:25	18461/18461	---MCZ	200	added ('OK')	text/html	date:Thu,%2004%20Sep%202025%2007:02:27%20GMT	https://www.quiztwise.com/loan/pages/video2.html	C:/Users/codebuzz/OneDrive/Desktop/loan_quiz/loan/www.quiztwise.com/loan/pages/video2.html	(from https://www.quiztwise.com/loan/page/play2.html)
12:47:25	15153/15153	---MCZ	200	added ('OK')	text/html	date:Thu,%2004%20Sep%202025%2007:02:27%20GMT	https://www.quiztwise.com/loan/pages/video3.html	C:/Users/codebuzz/OneDrive/Desktop/loan_quiz/loan/www.quiztwise.com/loan/pages/video3.html	(from https://www.quiztwise.com/loan/page/play3.html)
